a|Det,N
slave|N
slightly|Adv
slip|N
slowly|Adv
smell|N
society|N
software|N
soil|N
some|Det
somebody|N
somehow|N
something|Pron,N
sometimes|N
somewhat|N
somewhere|Adv,N
son|N
sophisticated|Adj,V
southern|Adj
speaker|N
specialist|N
species|N
specific|Adj
specifically|Adv
speech|N
spending|N,V
spiritual|Adj
spokesman|N
stability|N
stair|N
stake|N
standard|Adj
standing|Adj,N,V
star|N
stare|N
statement|N
station|N
statistics|N
status|N
steady|N
steal|V,N
stir|N
stop|V,N
storage|N
store|N,V
storm|N,V
straight|Adj
strange|Adj
stranger|N
strategic|Adj
stream|N
strength|N
strengthen|V
stress|N
stretch|N
string|N,V
strip|N
stroke|N
strongly|Adv
structure|N
studio|N
study|N,V
stupid|Adj
subsequent|Adj
substance|N
substantial|Adj
succeed|V
successful|Adj
successfully|Adv
suddenly|Adv
sue|N
sufficient|Adj
suggestion|N
suicide|N
summit|N
support|V,N
supporter|N
suppose|V
supposed|Adj,V
surely|Adv
surgery|N
surprised|Adj,V
surprising|Adj,V
surprisingly|Adv
survival|N
survive|V
survivor|N
sweep|N
tablespoon|N
tactic|N
take|V,N
tale|N
tall|Adj
tap|N
tax|N
taxpayer|N
tea|N
teacher|N
teaching|N,V
tear|N
teaspoon|N
technical|Adj
technique|N
technology|N
teen|Adj
teenager|N
telephone|N
telescope|N
television|N
temperature|N
temporary|N
tend|N
tendency|N
tension|N
terms|N
terrible|Adj
territory|N
terror|N
terrorism|N
terrorist|N
testify|V
testimony|N
testing|N,V
than|Conj
thanks|N
the|Det
theater|N
their|Det
them|Pron
themselves|Pron
therapy|N
therefore|N
these|Det
thick|Adj
thin|Adj
think|V,N,Adj
thinking|N,Adj,V
third|N
thirty|N
those|Det
though|Conj
thousand|N
threat|N
threaten|Adj
throat|N
through|Prep,Adv
throughout|Prep,Adv
thus|Adv
tie|V,N
tight|Adj
tire|N
to|Prep
too|Adv
totally|Adv
touch|V,N
tough|Adj
tour|N
tournament|N
towards|Prep
trace|N
tradition|N
traditional|Adj
tragedy|N
trail|N
training|N,V
transform|V
transformation|N
transition|N
translate|V
transportation|N
treatment|N
treaty|N
tremendous|Adj
troop|N
typically|Adv
ultimate|Adj,N
ultimately|Adv
undergo|V
understand|V
understanding|N,Adj,V
unfortunately|Adv
union|N
universal|Adj
university|N
unless|Conj,Prep
unlike|Prep,Adj
unlikely|Adv
user|N
usually|Adv
vacation|N
valuable|Adj
value|N
variable|Adj
variation|N
variety|N
vary|N
vegetable|Adj
versus|N
via|Prep
victim|N
viewer|N
violate|V
violation|N
violence|N
violent|Adj
virtually|Adv
virtue|N
visible|Adj
vision|N
visitor|N
volunteer|N
voter|N
vulnerable|Adj
wake|N
wander|V
war|N
warn|V
warning|N,Adj,V
watch|V,N
weak|Adj
wealthy|N
week|N
weekly|Adv
weigh|N
weight|N
welfare|N
well|Adv
western|Adj
whatever|N
whenever|N
whereas|N
whether|Conj
which|Det
while|Adv
white|Adj
who|Pron
whole|Adj
whom|Pron
whose|Pron
why|Adv
widely|Adv
widespread|Adj
willing|Adj,V
wind|N
wipe|V
with|Prep
withdraw|V
within|Prep,Adv
without|Prep,Adv
wonderful|Adj
wooden|Adj
worker|N
working|Adj,N,V
works|N,V
workshop|N
worried|Adj,V
would|Modal
wound|N,V
writer|N
writing|N,V
yeah|Adv,N
yell|N
yes|N
yesterday|Adj
yet|Adv
yield|N
your|N
yours|N
yourself|N
